feature,gain,split,gain_pct
mkt_ret_lag_2,1.9878365993499756,166.0,8.070286897332277
mkt_ret_lag_1,1.885324239730835,153.0,7.654103719640763
mkt_vol_20,1.8092577457427979,164.0,7.345286370187393
mkt_ret_lag_4,1.7619256973266602,159.0,7.153126103955469
mkt_mom_5,1.7000188827514648,159.0,6.901794704440465
mkt_ret_lag_3,1.6933642625808716,169.0,6.874778050261231
spread_ret_lag1,1.5137211084365845,152.0,6.1454566394570636
mkt_mom_20,1.4557653665542603,130.0,5.910165939763217
mkt_ret_lag_5,1.2209107875823975,131.0,4.956695301344097
spread_z_20,1.214417576789856,108.0,4.930333942468926
spread_z_60,1.0287699699401855,100.0,4.176635449559645
cs_disp_ma20,0.9379503130912781,107.0,3.807922705802122
day_mod_5,0.7651692628860474,73.0,3.1064602988645746
breadth_1,0.7152624130249023,71.0,2.9038467658140052
inst_id,0.549856960773468,59.0,2.232328063276496
ret_std_60,0.36823713779449463,65.0,1.4949817048472822
ewm_vol_94,0.27069970965385437,41.0,1.098995923832737
ret_lag_10,0.1858225166797638,35.0,0.7544085978094931
ret_lag_7,0.17085455358028412,37.0,0.6936411501626472
ret_lag_1,0.11823850125074387,27.0,0.48002870442978796
ret_std_20,0.11684612929821014,26.0,0.47437590523672535
min_ret_20,0.1160193532705307,23.0,0.4710193316906946
ret_lag_5,0.1148202121257782,27.0,0.46615101752859867
px_over_ma_5,0.10834294557571411,26.0,0.43985438963342643
ret_std_5,0.10385835915803909,25.0,0.4216477125763928
ret_std_10,0.09869847446680069,18.0,0.4006994365314384
ret_lag_3,0.0983351618051529,25.0,0.39922444738298934
corr_mkt_60,0.09457586705684662,26.0,0.38396233420910625
ret_lag_6,0.09066866338253021,24.0,0.3680997353273092
ret_mean_60,0.08888506889343262,18.0,0.36085863752267816
ret_lag_4,0.08710935711860657,20.0,0.35364954223058853
ret_lag_2,0.08325480669736862,21.0,0.33800070682339495
beta_60,0.08273757249116898,22.0,0.3359008217329856
cs_rank_vol20,0.08109132200479507,16.0,0.329217317799989
autocorr1_20,0.07912048697471619,23.0,0.32121605445407303
cs_rank_mom5,0.07725706696510315,17.0,0.3136508782757471
max_ret_20,0.07341502606868744,20.0,0.2980528294645432
vol_ratio_5_20,0.07187587767839432,20.0,0.2918041422780338
ret_kurt_20,0.06824593991041183,16.0,0.2770671969895428
cs_z_mom20,0.06522467732429504,13.0,0.2648013719865664
mom_5,0.06338655203580856,13.0,0.25733888818071515
cs_ret1_demeaned,0.0624740794301033,11.0,0.25363440074125165
ewm_ret_hl20,0.060275956988334656,9.0,0.2447103882010165
drawdown_20,0.05768659710884094,13.0,0.23419801655296996
ret_lag_8,0.05690070614218712,14.0,0.2310074295736417
drawdown_60,0.05617419630289078,13.0,0.2280579201226267
ret_kurt_60,0.05613068491220474,14.0,0.2278812710930973
autocorr1_60,0.05582142993807793,15.0,0.2266257471901535
ma_cross_10_50,0.05477546155452728,13.0,0.2223792890338076
resid_ret_1,0.05310727655887604,9.0,0.2156067346311304
runup_60,0.051777034997940063,12.0,0.2102061745232126
mom_20,0.05106496810913086,11.0,0.20731530105571522
rsi_14,0.05105716735124588,13.0,0.2072836312725102
ret_skew_60,0.04993050917983055,18.0,0.20270958596037605
ret_lag_9,0.04989616945385933,11.0,0.2025701723684067
vol_ratio_10_60,0.04948069900274277,16.0,0.20088343124543354
ret_mean_5,0.047789402306079865,13.0,0.19401704716987958
ret_skew_20,0.04699273034930229,12.0,0.19078269115874844
mom_60,0.04632387310266495,13.0,0.1880672416718599
macd_signal,0.04092102870345116,12.0,0.16613258950902207
days_since_max_20,0.03990953788161278,12.0,0.1620261045348932
runup_20,0.036233797669410706,6.0,0.14710320891951315
mom_10,0.0349636971950531,8.0,0.14194681164830109
ret_mean_20,0.03361964598298073,7.0,0.13649018664719276
cs_rank_ret1,0.03204014152288437,10.0,0.13007766051060696
px_over_ma_50,0.03042609989643097,6.0,0.1235249192068322
macd_hist,0.030291877686977386,8.0,0.12297999929810406
price_z_60,0.027104850858449936,8.0,0.11004119896405143
rsi_7,0.026053987443447113,8.0,0.10577486779188347
cs_rank_mom20,0.02399647980928421,5.0,0.09742172804861898
px_over_ma_20,0.019870124757289886,4.0,0.08066941092117498
px_over_ma_10,0.012733178213238716,3.0,0.051694591662765424
price_z_20,0.01247385237365961,2.0,0.050641771765003556
ewm_ret_hl5,0.012380814179778099,3.0,0.050264052128852904
ret_mean_10,0.01049452181905508,5.0,0.04260601799855323
ma_cross_5_20,0.010007962584495544,3.0,0.04063066820535299
frac_up_5,0.008583003655076027,2.0,0.03484557129090267
frac_up_20,0.008253004401922226,2.0,0.033505829055687046
streak,0.004592161625623703,1.0,0.018643414559235773
macd,0.0017668684013187885,1.0,0.0071731926623829125
frac_up_10,0.0,0.0,0.0
is_algo,0.0,0.0,0.0
