,mse,mae,r2_vs_zero,dir_acc,ic_pearson,ic_spearman,daily_cs_ic_mean,daily_cs_ic_t,n_rows
Ridge,0.0005191712196763653,0.017489364806476396,0.0003088946713025731,0.5058242843040474,0.04749464901946612,0.04269604905575332,0.02548145138317535,1.571031422902171,5100
XGBoost,0.000519403195542888,0.017496512660163634,-0.0001377868888927658,0.4817374136229023,0.04277122553356027,0.0655136901156199,0.037870595715092284,1.1288645743072598,5100
LSTM,0.0005192102122163944,0.017492429698039776,0.00023381248005183153,0.5038499506416585,0.04508600824249969,0.044318681152609306,0.012341584251466928,0.7040554799174888,5100
Linear regression,0.0005343719585210086,0.017764744503746252,-0.028960916214761268,0.5000987166831194,0.02167647817476334,0.016912931772167517,0.004223021813817409,0.29579714309421373,5100
LightGBM,0.0005201893309727905,0.017511184416173543,-0.0016515314245533208,0.4821322803553801,-0.028865388559917233,-0.0336887828482808,0.008623713122860211,0.28518155172063914,5100
GRU,0.0005207170299498873,0.017523701486336456,-0.0026676432025527497,0.4839091806515301,-0.005358323286412332,-0.007976373091925682,0.004203613746438131,0.256458962350164,5100
ARIMA,0.0005219783013630837,0.017546870177279298,-0.0050962866788744066,0.49693978282329715,0.008445534086953874,-0.0008120678802306527,0.0025046458446896756,0.16407024412233687,5100
GARCH,0.0005219659540895726,0.017546073787760862,-0.005072511363455989,0.5040473840078973,-0.00733152227876072,-0.008342921195142258,-0.005808105709039792,-0.3968929076699811,5100
